✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 320, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 4,064,347
Starting training for 21973 steps...
Batch 16200 | Loss: 2.3227 | BPC: 3.351 | Speed: 104937 tok/s
Batch 16300 | Loss: 2.3834 | BPC: 3.438 | Speed: 105390 tok/s
Batch 16400 | Loss: 2.3477 | BPC: 3.387 | Speed: 105420 tok/s
Batch 16500 | Loss: 2.4067 | BPC: 3.472 | Speed: 104459 tok/s
Batch 16600 | Loss: 2.3619 | BPC: 3.408 | Speed: 104125 tok/s
Batch 16700 | Loss: 2.4045 | BPC: 3.469 | Speed: 105098 tok/s
Batch 16800 | Loss: 2.4355 | BPC: 3.514 | Speed: 105389 tok/s
Batch 16900 | Loss: 2.3799 | BPC: 3.433 | Speed: 105368 tok/s
Batch 17000 | Loss: 2.3940 | BPC: 3.454 | Speed: 104322 tok/s
Batch 17100 | Loss: 2.3952 | BPC: 3.455 | Speed: 104157 tok/s
Batch 17200 | Loss: 2.4108 | BPC: 3.478 | Speed: 105406 tok/s
Batch 17300 | Loss: 2.3726 | BPC: 3.423 | Speed: 105447 tok/s
Batch 17400 | Loss: 2.3923 | BPC: 3.451 | Speed: 105212 tok/s
Batch 17500 | Loss: 2.3599 | BPC: 3.405 | Speed: 104190 tok/s
Batch 17600 | Loss: 2.3928 | BPC: 3.452 | Speed: 104319 tok/s
Batch 17700 | Loss: 2.3986 | BPC: 3.460 | Speed: 105403 tok/s
Batch 17800 | Loss: 2.3537 | BPC: 3.396 | Speed: 105395 tok/s
Batch 17900 | Loss: 2.3698 | BPC: 3.419 | Speed: 105073 tok/s
Batch 18000 | Loss: 2.4128 | BPC: 3.481 | Speed: 104095 tok/s
Batch 18100 | Loss: 2.4037 | BPC: 3.468 | Speed: 104571 tok/s
Batch 18200 | Loss: 2.3621 | BPC: 3.408 | Speed: 105410 tok/s
Batch 18300 | Loss: 2.4044 | BPC: 3.469 | Speed: 105355 tok/s
Batch 18400 | Loss: 2.3772 | BPC: 3.430 | Speed: 104860 tok/s
Batch 18500 | Loss: 2.3634 | BPC: 3.410 | Speed: 104140 tok/s
